Author Name,Affiliation,Google Scholar Link,Research Interests,Email Domain,Citations,Nation,,,,,
Rihui Li,University of Macau,https://scholar.google.com/citations?hl=en&user=vfaP4OQAAAAJ,"Multi-modal Brain imaging, Computational neuroscience, Brain network, Psychiatric disorder",um.edu.mo,1554,mo,,,,,
Sabato Santaniello,University of Connecticut,https://scholar.google.com/citations?hl=en&user=4DlJepMAAAAJ,"Computational Neuroscience, Neural Systems, Systems and Control, Biomedical Engineering",uconn.edu,1549,us,,,,,
Qingyu Zhao,"Assistant Professor, WCM, Cornell",https://scholar.google.com/citations?hl=en&user=yHpHM34AAAAJ,"Machine Learning, Neuroimaging, Computational Neuroscience",med.cornell.edu,1548,us,,,,,
Daniel B. Rubin,"Instructor in Neurology, Harvard Medical School",https://scholar.google.com/citations?hl=en&user=S_uCgdUAAAAJ,"Computational Neuroscience, Brain Computer Interfaces",mgh.harvard.edu,1548,us,,,,,
Abdulmajeed Alsufyani,"Department of Computer Science,CIT college, Taif University",https://scholar.google.com/citations?hl=en&user=wz3U2HoAAAAJ,"Artificial Intelligence, Computational neuroscience, Brain Computer Interface, Deception Detection",tu.edu.sa,1544,sa,,,,,
Lorenzo Fontolan,"CENTURI Group Leader, Aix-Marseille University",https://scholar.google.com/citations?hl=en&user=01jqJYoAAAAJ,Computational Neuroscience,univ-amu.fr,1535,fr,,,,,
Ioannis Mavroudis,"Consultant Neurologist, Leeds teaching Hospitals, Honorary Senior Lecturer",https://scholar.google.com/citations?hl=en&user=-QCToq4AAAAJ,"Neuropathology, muscle biopsies, neuromorphology, computational neuroscience",nhs.net,1530,uk,,,,,
Victor V. Matveev,"Professor of Applied Mathematics, New Jersey Institute of Technology",https://scholar.google.com/citations?hl=en&user=qxWBVxQAAAAJ,"Cell Biophysics, Computational Neuroscience, Synaptic Transmission, Calcium Dynamics, Statistical Mechanics",njit.edu,1530,us,,,,,
Michael Beyeler,"University of California, Santa Barbara",https://scholar.google.com/citations?hl=en&user=dK-0kG4AAAAJ,"Bionic Vision, Blindness, Low Vision, Computational Neuroscience, Neurotechnology",ucsb.edu,1529,us,,,,,
Alan Veliz-Cuba,"Associate Professor, University of Dayton",https://scholar.google.com/citations?hl=en&user=K7LAR4IAAAAJ,"Mathematical Biology, Systems Biology, Computational Neuroscience",udayton.edu,1527,us,,,,,
Thomas R. Kiehl,Neural Stem Cell Institute,https://scholar.google.com/citations?hl=en&user=7vcNMRYAAAAJ,"Systems Biology, Evolutionary Computing, Machine Learning, Computational Neuroscience, Bioinformatics",neuralsci.org,1524,us,,,,,
Jun-nosuke Teramae,Kyoto University,https://scholar.google.com/citations?hl=en&user=OwKC3gsAAAAJ,"computational neuroscience, nonlinear physics",acs.i.kyoto-u.ac.jp,1516,jp,,,,,
Eric Hunsberger,"Senior Research Scientist, Applied Brain Research",https://scholar.google.com/citations?hl=en&user=9AF6oX4AAAAJ,"computational neuroscience, machine learning, computer vision",uwaterloo.ca,1516,ca,,,,,
Yuan Yang,"Associate Professor in Bioengineering, University of Illinois Urbana-Champaign",https://scholar.google.com/citations?hl=en&user=qrUWfasAAAAJ,"Stroke, neural engineering, sensorimotor control, neurorehabilitation, computational neuroscience",illinois.edu,1514,us,,,,,
R?zvan Valentin Florian,Romanian Institute of Science and Technology,https://scholar.google.com/citations?hl=en&user=XQ0XWxIAAAAJ,"machine learning, deep learning, spiking neural networks, computational neuroscience, scientometrics",rist.ro,1505,ro,,,,,
Luisa Helena Bartocci Liboni,King's University College at Western University,https://scholar.google.com/citations?hl=en&user=YSqLHJkAAAAJ,"Artificial Intelligence, Neural Networks, Complex Systems, Computational Neuroscience",uwo.ca,1503,ca,,,,,
Elizabeth Thomas,INSERMU1093 Universit®¶ de Bourgogne,https://scholar.google.com/citations?hl=en&user=Ahkj0QIAAAAJ,"neuroscience, computational neuroscience, motor control",u-bourgogne.fr,1503,fr,,,,,
Sebastian Schneegans,,https://scholar.google.com/citations?hl=en&user=3S0q0q0AAAAJ,"computational neuroscience, visual working memory, spatial cognition",cantab.ac.uk,1500,uk,,,,,
Espen Hagen,University of Oslo,https://scholar.google.com/citations?hl=en&user=c7AjJIAAAAAJ,"Computational Neuroscience, Data Science",medisin.uio.no,1496,no,,,,,
Jorge F. Mejias,"Assistant Professor, University of Amsterdam",https://scholar.google.com/citations?hl=en&user=ROzPavkAAAAJ,"Computational Neuroscience, Cognitive Neuroscience, Neural Networks, Complex Systems",uva.nl,1492,nl,,,,,
Yuichi Yamashita,National Center of Neurology and Psychiatry,https://scholar.google.com/citations?hl=en&user=-4mIVXkAAAAJ,"Computational Psychiatry, Neurorobotics, Computational Neuroscience, Psychiatry, Artificial Intelligence",ncnp.go.jp,1491,jp,,,,,
Muhammet Uzuntarla,"Professor, Gebze Technical University",https://scholar.google.com/citations?hl=en&user=EklrarQAAAAJ,"Computational Neuroscience, Nonlinear Dynamics",gtu.edu.tr,1490,tr,,,,,
SE-BUM PAIK,"Brain and Cognitive Sciences, KAIST",https://scholar.google.com/citations?hl=en&user=VQK2PP0AAAAJ,"Computational Neuroscience, Systems Neuroscience, Visual Perception, Cognitive Intelligence, Brain-inspired AI",kaist.ac.kr,1486,kr,,,,,
Kazutaka Takahashi,University of Missouri,https://scholar.google.com/citations?hl=en&user=oCKMXCQAAAAJ,"Brain Machine Interface, Computational Neuroscience, Data Science, Sensorimotor Neurophysiology",health.missouri.edu,1482,us,,,,,
Caroline Moore-Kochlacs,Boston University,https://scholar.google.com/citations?hl=en&user=gBL_Le4AAAAJ,Computational Neuroscience,bu.edu,1482,us,,,,,
Houman Safaai,Kempner Institute at Harvard University,https://scholar.google.com/citations?hl=en&user=mogkRAsAAAAJ,"Computational neuroscience, Information theory, Statistical models, Machine learning, Dynamical",harvard.edu,1478,us,,,,,
Johannes Bill,Harvard Medical School,https://scholar.google.com/citations?hl=en&user=lWjexuQAAAAJ,"Computational Neuroscience, Machine Learning, Neuromorphic Engineering",hms.harvard.edu,1469,us,,,,,
Andrew M. Clark,"Research Assistant Professor, University of Utah",https://scholar.google.com/citations?hl=en&user=xKS65m4AAAAJ,"systems neuroscience, computational neuroscience, vision, reward, motivation",utah.edu,1468,us,,,,,
Karl Pauwels,"Postdoctoral Researcher, KTH Royal Institute of Technology Stockholm",https://scholar.google.com/citations?hl=en&user=ZHrinB4AAAAJ,"computer vision, robot vision, real-time systems, graphics processing units, computational neuroscience",kth.se,1466,se,,,,,
Epaminondas Rosa,"Department of Physics, Illinois State University",https://scholar.google.com/citations?hl=en&user=I9Nd3Z4AAAAJ,"Computational neuroscience, nonlinear dynamics, experimental chaos",ilstu.edu,1466,us,,,,,
Robbe LT Goris,"Assistant Professor, University of Texas at Austin",https://scholar.google.com/citations?hl=en&user=nR6fesMAAAAJ,"Visual perception, Perceptual decision-making, Computational neuroscience",utexas.edu,1459,us,,,,,
Michael McCamy,"Research staff member, NeuroMentix",https://scholar.google.com/citations?hl=en&user=ta1PCyYAAAAJ,"Artificial intelligence, Vision, Neuroscience, Computational Neuroscience",neuromentix.com,1457,us,,,,,
Xu Zhang,"Boston Children's Hospital, Harvard Medical School",https://scholar.google.com/citations?hl=en&user=ZDoMMsIAAAAJ,"Epilepsy, Tremor, Neuromodulation, Focused Ultrasound, Computational Neuroscience",childrens.harvard.edu,1448,us,,,,,
Sebastian Goldt,"International School of Advanced Studies (SISSA), Trieste, Italy",https://scholar.google.com/citations?hl=en&user=R06wsMkAAAAJ,"Theory of Neural Networks, Machine Learning, Computational Neuroscience, Stochastic Thermodynamics",sissa.it,1443,it,,,,,
Sheng-Hsiou (Shawn) Hsu,UC San Diego,https://scholar.google.com/citations?hl=en&user=O7JQBbAAAAAJ,"Signal Processing, Machine Learning, Computational Neuroscience, Brain-computer Interfaces",ucsd.edu,1440,us,,,,,
Sungho Hong,"Center for Cognition and Sociality, Institute for Basic Science",https://scholar.google.com/citations?hl=en&user=SrfVgmsAAAAJ,"computational neuroscience, neural coding, cerebellum, sensorimotor learning, circadian rhythm",ibs.re.kr,1433,kr,,,,,
Nancy Xin Ru Wang,Applied Scientist at Amazon,https://scholar.google.com/citations?hl=en&user=pt8FU98AAAAJ,"Machine learning Applications, Computer Vision, Computational Neuroscience",amazon.de,1433,de,,,,,
Andra Geana,Brown university,https://scholar.google.com/citations?hl=en&user=1wUyboUAAAAJ,"computational neuroscience, cognitive neuroscience, computational psychiatry",brown.edu,1423,us,,,,,
Hunki Kwon,"Department of Neurology, Massachusetts General Hospital, Harvard Medical School, Boston ",https://scholar.google.com/citations?hl=en&user=moKlpY4AAAAJ,"Computational Neuroscience, MRI, MEG/EEG, Sleep, Epilepsy",mgh.harvard.edu,1422,us,,,,,
Shaun L. Cloherty,RMIT University,https://scholar.google.com/citations?hl=en&user=Y7oJE28AAAAJ,"visual neuroscience, neuroprostheses, computational neuroscience, biomedical engineering",rmit.edu.au,1421,au,,,,,
Jung H. Lee,Pacific Northwest National Laboratory,https://scholar.google.com/citations?hl=en&user=Qa4tx8sAAAAJ,"Computational neuroscience, Artificial intelligence, cognitive computing, learning algorithms, nanoelectronics",pnnl.gov,1419,us,,,,,
Johan N van der Meer,Amsterdam UMC,https://scholar.google.com/citations?hl=en&user=uj8Y9pUAAAAJ,"Brain-Machine Interfaces, Simultaneous EEG-fMRI, Computational Neuroscience, Brain States",amsterdamumc.nl,1416,nl,,,,,
Lars Schwabe,VP Professional Services & Operations,https://scholar.google.com/citations?hl=en&user=238PHfMAAAAJ,"Artificial Intelligence, Machine Learning, Computational Neuroscience, Cognitive Neuroscience",merantix.com,1414,de,,,,,
Shane Lee,"Assistant Professor of Neurosurgery, Alpert Medical School at Brown University",https://scholar.google.com/citations?hl=en&user=uq-XZSIAAAAJ,"Parkinson's disease, essential tremor, human electrophysiology, computational neuroscience",brown.edu,1413,us,,,,,
Carmen Alina Lupascu,"Institute of Biophysics, National Research Council",https://scholar.google.com/citations?hl=en&user=Fixq-mQAAAAJ,"Computational Neuroscience, Retinal Image Analysis",pa.ibf.cnr.it,1410,it,,,,,
Uri Maoz,"Associate Professor of Computational Neuroscience, Chapman University",https://scholar.google.com/citations?hl=en&user=l3xbpnkAAAAJ,"Computational neuroscience, decision making, free will, moral responsibility, invasive brain",chapman.edu,1405,us,,,,,
Franz Scherr,Huawei Technologies - Zurich Research Center,https://scholar.google.com/citations?hl=en&user=QCUInkoAAAAJ,"Machine Learning, Artificial Intelligence, Computational Neuroscience",huawei.com,1403,cn,,,,,
Xiaoran Yan,Zhejiang Lab,https://scholar.google.com/citations?hl=en&user=aGOO17kAAAAJ,"network science, statistical machine learning, graph theory, computational neuroscience, science of science",zhejianglab.com,1402,cn,,,,,
Eghbal A. Hosseini,Massachusetts Institute of Technology,https://scholar.google.com/citations?hl=en&user=JTZGsngAAAAJ,"neural circuits, sensorimotor control, computational neuroscience",mit.edu,1395,us,,,,,
Bryan Howell,Duke University,https://scholar.google.com/citations?hl=en&user=784EAnsAAAAJ,"Computational Neuroscience, Neuroimaging, DBS, tES",duke.edu,1394,us,,,,,
William F Kindel,University of Colorado School of Medicine,https://scholar.google.com/citations?hl=en&user=_EbAw0wAAAAJ,"Computational Neuroscience, Machine Learning, Quantum Mechanics",ucdenver.edu,1387,us,,,,,
Chetan Singh Thakur,"Indian Institute of Science (IISc), Bangalore",https://scholar.google.com/citations?hl=en&user=AO3LyLMAAAAJ,"Neuromorphic engineering, Edge Computing, Computational Neuroscience, Machine learning, Analog/Digital VLSI",iisc.ac.in,1383,in,,,,,
JJ Johannes Hjorth,Researcher,https://scholar.google.com/citations?hl=en&user=uUINf0gAAAAJ,"Developmental Neuroscience, Computational Neuroscience, Basal Ganglia",kth.se,1379,se,,,,,
Sorinel A. Oprisan,"Professor, Department of Physics and Astronomy, College of Charleston",https://scholar.google.com/citations?hl=en&user=TdA0Q9cAAAAJ,"Computational Neuroscience, Nonlinear Dynamics and Chaos, Statistical Mechanics and Thermodynamics",cofc.edu,1375,us,,,,,
Hannah Choi,"Assistant Professor, Georgia Institute of Technology",https://scholar.google.com/citations?hl=en&user=tzVncBMAAAAJ,"Computational Neuroscience, Applied Mathematics",u.northwestern.edu,1373,us,,,,,
Brian Christian,University of Oxford,https://scholar.google.com/citations?hl=en&user=Ajec0lYAAAAJ,"Artificial Intelligence, Machine Learning, Cognitive Science, Computational Neuroscience",psy.ox.ac.uk,1373,uk,,,,,
Chunhe Li,"Associate Professor, Shanghai Center for Mathematical Sciences, Fudan University",https://scholar.google.com/citations?hl=en&user=w3X1UIwAAAAJ,"Computational systems biology, Gene regulatory networks, Computational neuroscience, Complex system",fudan.edu.cn,1360,cn,,,,,
Drew Linsley,Brown University,https://scholar.google.com/citations?hl=en&user=cXZlAuQAAAAJ,"Computational neuroscience, computer vision, biological vision",brown.edu,1359,us,,,,,
Chess Stetson,"CEO, dRISK",https://scholar.google.com/citations?hl=en&user=YaV9Jc4AAAAJ,Computational Neuroscience,drisk.ai,1358,ai,,,,,
Mohammad Bahadoram,"Department of Neurology, School of Medicine, Ahvaz Jundishapur University of Medical",https://scholar.google.com/citations?hl=en&user=f7mt9igAAAAJ,"Clinical Neurology, Computational Neuroscience,  Neuroscience",,1356,ir,,,,,
Juan C. Vasquez,Postdoctoral Fellow Universidad de Antioquia,https://scholar.google.com/citations?hl=en&user=pX6MQvQAAAAJ,"bio-physics, computational neuroscience",udea.edu.co,1353,co,,,,,
Anand Subramoney,"Royal Holloway, University of London",https://scholar.google.com/citations?hl=en&user=gmu6TWwAAAAJ,"Artificial Intelligence, Machine Learning, Computational Neuroscience",rhul.ac.uk,1351,uk,,,,,
Laura E. Su®¢rez,"Montr®¶al Neurological Institute, McGill University",https://scholar.google.com/citations?hl=en&user=3_jINP8AAAAJ,"Computational Neuroscience, Neuromorphic Engineering",mail.mcgill.ca,1346,ca,,,,,
Asieh Zadbood,Princeton University,https://scholar.google.com/citations?hl=en&user=DP9RUpIAAAAJ,"cognitive neuroscience, computational neuroscience, computational psychiatry",princeton.edu,1345,us,,,,,
Jose Gomez-Tames,Chiba University,https://scholar.google.com/citations?hl=en&user=ulGFLBAAAAAJ,"Neural engineering, Brain Stimulation, Computational Electromagnetics, Computational Neuroscience",chiba-u.jp,1344,jp,,,,,
Antonio Rodriguez-Sanchez,"Associate Professor, University of Innsbruck",https://scholar.google.com/citations?hl=en&user=ei7XukUAAAAJ,"Computational neuroscience, Computer Vision, Machine Learning, Robotics",uibk.ac.at,1341,at,,,,,
Babette Dellen,RheinAhrCampus der Hochschule Koblenz,https://scholar.google.com/citations?hl=en&user=3hMydg4AAAAJ,"Computer Vision, Computational Neuroscience, Biophysics, Robotics",hs-koblenz.de,1340,de,,,,,
Sima Mofakham,"Assistant Professor, Stony Brook University Hospital",https://scholar.google.com/citations?hl=en&user=ZBBNRqcAAAAJ,"Deep Brain Stimulation, Computational Neuroscience, System Neuroscience",stonybrookmedicine.edu,1340,us,,,,,
Payam Piray,Assistant Professor of Psychology and Neuroscience at USC,https://scholar.google.com/citations?hl=en&user=-ifvBVEAAAAJ,"computational neuroscience, cognitive neuroscience, computational psychiatry",usc.edu,1339,us,,,,,
Miguel Aguilera,BCAM - Basque Center for Applied Mathematics,https://scholar.google.com/citations?hl=en&user=HJHkCmEofCgC,"Complex Systems, Computational Neuroscience, Schochastic Thermodynamics, Artificial Life, Adaptive Behavior",bcamath.org,1335,es,,,,,
Patrick McClure,"Machine Learning Team, National Institute of Mental Health",https://scholar.google.com/citations?hl=en&user=8TKyUl4AAAAJ,"Machine Learning, Artificial Intelligence, Computational Neuroscience, Computer Vision, Medical Image Analysis",nih.gov,1331,us,,,,,
Luigi Acerbi,"Associate Professor of Machine and Human Intelligence, University of Helsinki",https://scholar.google.com/citations?hl=en&user=QYBZoGwAAAAJ,"Machine Learning, Bayesian Optimization, Computational Neuroscience, Probabilistic Inference",helsinki.fi,1329,fi,,,,,
Arjun Bharioke,"Department of Neuroscience, Medical University of South Carolina",https://scholar.google.com/citations?hl=en&user=pa-rnNMAAAAJ,"Circuit Neuroscience, Developmental Neuroscience, Computational Neuroscience, Systems Neuroscience",musc.edu,1327,us,,,,,
Dr. Christian Tetzlaff,University Medical Center G?ttingen,https://scholar.google.com/citations?hl=en&user=kUE_vAsAAAAJ,Computational Neuroscience,med.uni-goettingen.de,1322,de,,,,,
Mohammad Reza Raoufy,"Associate professor, Faculty of Medical Sciences, Tarbiat Modares University",https://scholar.google.com/citations?hl=en&user=cD7g2DEAAAAJ,"Neuromodulation, Computational Neuroscience, Complex Systems in Medicine",modares.ac.ir,1321,ir,,,,,
Darjan Salaj,inovex GmbH,https://scholar.google.com/citations?hl=en&user=10vTONgAAAAJ,"Deep Learning, Computational Neuroscience, Spiking Neural Networks",inovex.de,1321,de,,,,,
"Michael Graupner, PhD","Saints-P®®res Paris Institute for the Neurosciences, CNRS UMR 8003, Universit®¶ Paris Descartes",https://scholar.google.com/citations?hl=en&user=HkTh0pIAAAAJ,"Computational Neuroscience, Experimental Neuroscience, Synaptic plasticity, Neural network dynamics in vivo, Cerebellar motor co",parisdescartes.fr,1318,fr,,,,,
"Corinne Teeter, PhD","Principal Mem of Tech Staff, Sandia National Laboratories",https://scholar.google.com/citations?hl=en&user=EQ-Fqv8AAAAJ,"Computational neuroscience, brain-inspired computing, fundamental principles of neuroscience",sandia.gov,1314,us,,,,,
Bram-Ernst Verhoef,Axelera AI,https://scholar.google.com/citations?hl=en&user=_7_TYO4AAAAJ,"Artificial intelligence, DNN Accelerators, Computational Neuroscience, Experimental Neuroscience",imec.be,1313,be,,,,,
Daniel Ben Dayan Rubin,Intel Labs,https://scholar.google.com/citations?hl=en&user=P-kg2AQAAAAJ,"Computational Neuroscience, Theoretical Neuroscience, Machine Learning, Neuromorphic Engineering",intel.com,1306,us,,,,,
Yuansi Chen,"Seminar for Statistics, D-MATH, ETH Zurich",https://scholar.google.com/citations?hl=en&user=cHDBzPcAAAAJ,"MCMC, Statistical Learning, Optimization, Computational neuroscience",stat.math.ethz.ch,1305,ch,,,,,
Adam Charles,"Johns Hopkins University, Department of Biomedical Engineering",https://scholar.google.com/citations?hl=en&user=c8RKLp0AAAAJ,"Statistical Signal Processing, Biomedical data science, Neural Imaging, Machine Learning, Computational Neuroscience",jhu.edu,1301,us,,,,,
Vinh T. Nguyen,Systems Neuroscience Group - Queensland Institute of Medical Research,https://scholar.google.com/citations?hl=en&user=7NsZqfQAAAAJ,"Computational Neuroscience, Multimodal Neuroimaging Analysis, Brain Connectivity",qimrberghofer.edu.au,1294,au,,,,,
Yuri Dabaghian,Professor of Computational Neuroscience,https://scholar.google.com/citations?hl=en&user=PNFGdT4AAAAJ,"Computational Neuroscience, Topology, Geometry, Neural Networks",uth.tmc.edu,1293,us,,,,,
Torbj?rn Vefferstad Ness,Norwegian University of life Sciences,https://scholar.google.com/citations?hl=en&user=xeVr3rAAAAAJ,"Computational Neuroscience, Neuroscience, Extracellular potentials, LFP, ion channels",nmbu.no,1287,no,,,,,
Prabu P,"Associate Professor,Department of Computer Science, Christ University",https://scholar.google.com/citations?hl=en&user=GYjXshwAAAAJ,"Computational Neuroscience, Deep Learning, Agile Methodologies, Object Oriented Metrics, IOT",christuniversity.in,1287,in,,,,,
Salva Ardid,"Gen®CT Distinguished Research Group Leader, Universitat Polit®®cnica de Val®®ncia",https://scholar.google.com/citations?hl=en&user=beJXHAYAAAAJ,"Neural Networks, Reinforcement Learning, Meta-learning, Computational Neuroscience, Applied Physics",upv.es,1285,es,,,,,
Margaret Sereno,"Professor of Psychology, University of Oregon",https://scholar.google.com/citations?hl=en&user=1bzbVeYAAAAJ,"Perception, Cognitive Neuroscience, Computational Neuroscience",uoregon.edu,1281,us,,,,,
Pavan Ramkumar,Herophilus,https://scholar.google.com/citations?hl=en&user=JtltLUAAAAAJ,"Computational Neuroscience, Machine Learning, Organoids, Genomics, CNS Disease",herophilus.com,1279,,,,,,
Andrea Canessa,University of Genoa - DIBRIS - BioLab,https://scholar.google.com/citations?hl=en&user=8YHucJIAAAAJ,"EEG, Parkinson, Computational Neuroscience, Neuromodelling, StereoVision",unige.it,1278,it,,,,,
Murat Demirta?,"Postdoctoral Associate, UPF",https://scholar.google.com/citations?hl=en&user=F7PSpL8AAAAJ,"computational neuroscience, large-scale modeling, spontaneous activity, resting-state fMRI, computational psychiatry",upf.edu,1268,es,,,,,
Yubei Chen,UC Davis | Aizip.ai,https://scholar.google.com/citations?hl=en&user=WeyLqFUAAAAJ,"Unsupervised Learning, Computational Neuroscience, Sensorimotor Representation, Science4AI",ucdavis.edu,1268,us,,,,,
Ausra Saudargiene,Mokslo darbuotoja,https://scholar.google.com/citations?hl=en&user=g2emGowAAAAJ,"Computational neuroscience, artificial neural networks, statistical data analysis",lsmuni.lt,1267,lt,,,,,
Dr Gerrit Hilgen,"Associate Professor, Health & Life Sciences, Northumbria University, UK",https://scholar.google.com/citations?hl=en&user=7fQfYHYAAAAJ,"retinal neuroscience, neurophysiology, hPSC-derived neurons, bioimaging, computational neuroscience",northumbria.ac.uk,1266,uk,,,,,
Alexander Silchenko,"Research Fellow, Research Center Juelich",https://scholar.google.com/citations?hl=en&user=CJRgjFIAAAAJ,"Biophysics, Computational neuroscience, Nonlinear dynamics, Time-series analysis",fz-juelich.de,1264,de,,,,,
Alper T. Erdogan,Koc University,https://scholar.google.com/citations?hl=en&user=CW8eBF8AAAAJ,"Adaptive Signal Processing, Machine Learning, Computational Neuroscience, Matrix Factorization",ku.edu.tr,1263,tr,,,,,
Jan Karbowski,University of Warsaw,https://scholar.google.com/citations?hl=en&user=OGwANdUAAAAJ,"Systems Neuroscience, Computational Neuroscience, Biophysics, Statistical Mechanics",uw.edu.pl,1263,pl,,,,,
Paolo Moretti,Friedrich-Alexander-Universit?t Erlangen-N®πrnberg,https://scholar.google.com/citations?hl=en&user=lg4_b0UAAAAJ,"networks, computational neuroscience, materials modeling",fau.de,1262,de,,,,,
Xinlin Song,Xi'an University of Science and Technology,https://scholar.google.com/citations?hl=en&user=HtUqwzcAAAAJ,"neuron, nonlinear dynamic, computational neuroscience",xust.edu.cn,1262,cn,,,,,
Ahmed El Hady,"Group Leader , Center for Advanced Study of Collective Behavior and Max Planck Institute",https://scholar.google.com/citations?hl=en&user=GSSNcRcAAAAJ,"Systems Neuroscience, Behavioral modeling, Computational Neuroscience, Imaging, Electrophysiology",uni-konstanz.de,1257,de,,,,,
Spase Petkoski,"INSERM Charg®¶ de Recherche (CR) at Institut de Neurosciences des Syst®®mes, Aix-Marseille Universit®¶",https://scholar.google.com/citations?hl=en&user=TSi_ZkIAAAAJ,"Theoretical Neuroscience, Computational Neuroscience, Nonlinear Physics,  Biomedical Physics",univ-amu.fr,1253,fr,,,,,
Pedro J. Goncalves,VIB-Neuroelectronics Research Flanders (NERF),https://scholar.google.com/citations?hl=en&user=0bj8iLAAAAAJ,"machine learning, computational neuroscience, simulation-based inference",nerf.be,1252,be,,,,,
Eugenio Piasini,"Neural Computation Lab, International School for Advanced Studies (SISSA)",https://scholar.google.com/citations?hl=en&user=dGKi9Q4AAAAJ,"Computational Neuroscience, Theoretical Neuroscience",sissa.it,1251,it,,,,,
Xin Maizie Zhou,Assistant Professor at Vanderbilt University,https://scholar.google.com/citations?hl=en&user=6amWCGMAAAAJ,"Computational Genomics, Bioinformatics, Computational Neuroscience, Machine Learning",vanderbilt.edu,1248,us,,,,,
Alexander Holmes,Monash University,https://scholar.google.com/citations?hl=en&user=9TueE6gAAAAJ,Computational Neuroscience,monash.edu,1248,us,,,,,
Viswanath Sivakumar,"Research Scientist, Reality Labs at Meta",https://scholar.google.com/citations?hl=en&user=hLPvq9AAAAAJ,"machine learning, computational neuroscience, systems",meta.com,1242,us,,,,,
Faisal Karmali,Harvard Medical School / Massachusetts Eye and Ear,https://scholar.google.com/citations?hl=en&user=_7THXFoAAAAJ,"Vestibular/sensory processing, posture, dynamic neurocomputations, computational neuroscience",meei.harvard.edu,1238,us,,,,,
Michael B Manookin,University of Washington,https://scholar.google.com/citations?hl=en&user=i9O8zAYAAAAJ,"neural circuits, computational neuroscience, visual processing",uw.edu,1234,us,,,,,
Ryota Kobayashi,The University of Tokyo,https://scholar.google.com/citations?hl=en&user=NeZiHE4AAAAJ,"Computational neuroscience, Social Media Analysis, Time series",ku-tokyo.ac.jp,1233,jp,,,,,
Giovanni Diana,MSCA Postdoctoral fellow,https://scholar.google.com/citations?hl=en&user=pjN7iWYAAAAJ,"Theoretical physics, Statistical Mechanics, Computational Neuroscience, Information theory, Bayesian inference",pasteur.fr,1232,fr,,,,,
Devika Narain,"Associate Professor, Erasmus Medical Center",https://scholar.google.com/citations?hl=en&user=w7qto5sAAAAJ,"Computational Neuroscience, Machine Intelligence, Systems Neuroscience",mit.edu,1232,us,,,,,
Huifang Wang,"Aix Marseille Univ, INSERM U1106, INS, Inst Neurosci Syst, Marseille, France",https://scholar.google.com/citations?hl=en&user=cVShyS0AAAAJ,"Computational neuroscience, Brain connectivity, Nonlinear Systems, Machine learning, Robotics",univ-amu.fr,1230,fr,,,,,
Yansong Chua,China Nanhu Academy of Electronics and Information Technology (CNAEIT),https://scholar.google.com/citations?hl=en&user=-UVVOA8AAAAJ,"neuromorphic computing, brain inspired learning algorithms, computational neuroscience",cnaeit.com,1228,cn,,,,,
Ramazan Tekin,"Department of Computer engineering, Batman University",https://scholar.google.com/citations?hl=en&user=6lNkO5UAAAAJ,"Machine Learning, Computational Neuroscience",batman.edu.tr,1227,tr,,,,,
David Kappel,Ruhr-Universit?t Bochum,https://scholar.google.com/citations?hl=en&user=csoW51sAAAAJ,"computational neuroscience, machine learning, neuromorphic engineering",rub.de,1221,de,,,,,
Changde Du,"Institute of Automation, Chinese Academy of Sciences",https://scholar.google.com/citations?hl=en&user=ef2EFsYAAAAJ,"machine learning, computer vision, computational neuroscience, brain-computer interface(BCI), artificial intelligence",ia.ac.cn,1218,cn,,,,,
Horacio Rostro-Gonzalez,Universitat Ramon Llull,https://scholar.google.com/citations?hl=en&user=iJ_YBpkAAAAJ,"Computational Neuroscience, Artificial Intelligence, Robotics, Reconfigurable Computing, FPGAs",iqs.url.edu,1217,es,,,,,
Zolt®¢n Somogyv®¢ri,Wigner Research Centre for Physics,https://scholar.google.com/citations?hl=en&user=7Wbt2fQAAAAJ,"Neurophysiological data analysis, Computational Neuroscience, Complex Systems",wigner.hu,1211,hu,,,,,
Zoran Tiganj,"Department of Computer Science, Department of Psychological and Brain Sciences, Indiana ",https://scholar.google.com/citations?hl=en&user=BrWVCo8AAAAJ,"Artificial Intelligence, Cognitive Science, Computational Neuroscience",iu.edu,1209,us,,,,,
Toni Guillamon,"Associate Professor of Applied Mathematics, Universitat Polit√®cnica de Catalunya",https://scholar.google.com/citations?hl=en&user=-sydmjIAAAAJ,"Dynamical Systems, Computational Neuroscience",upc.edu,1201,es,,,,,
Joseph Makin,"Assistant Professor, ECE, Purdue University",https://scholar.google.com/citations?hl=en&user=rNOhijYAAAAJ,"computational neuroscience, machine learning",purdue.edu,1200,us,,,,,
Junji Ito,"Forschungszentrum J®πlich, IAS-6",https://scholar.google.com/citations?hl=en&user=CdxwVcEAAAAJ,"Systems Neuroscience, Computational Neuroscience, Nonlinear Dynamics",fz-juelich.de,1199,de,,,,,
Qiang Yu,Tianjin University,https://scholar.google.com/citations?hl=en&user=cfvgmbY1srIC,"Computational Neuroscience, Spiking Neural Networks, Artificial Intelligence, Learning and Memory",tju.edu.cn,1199,cn,,,,,
neslihan serap sengor,Istanbul Technical University,https://scholar.google.com/citations?hl=en&user=D28LfyIAAAAJ,"electronics, nonlinear systems, computational neuroscience, artificial neural networks",itu.edu.tr,1198,tr,,,,,
